"","zip_code","year","SASH_sys_installed","SASH_avg_size_DC","SASH_avg_incentive","SASH_avg_syscost","total_sys_installed","total_avg_size_DC","SASH_installations_share"
"65","90262","2015",24,2.76229166666667,11750.7016666667,15137.5445833333,111,3.91391445554093,0.216216216216216
"66","90262","2016",3,2.61833333333333,11978.9833333333,16943.0066666667,103,4.39000490856975,0.029126213592233
"67","90262","2018",1,2.45,10747.98,15035.48,NA,NA,NA
"68","90280","2012",5,2.578,14640.004,16754.12,7,3.01714285714286,0.714285714285714
"69","90280","2013",9,2.84666666666667,14043.9233333333,14930.4622222222,19,3.33846982871142,0.473684210526316
"70","90280","2014",12,3.535,18925.8691666667,18925.8691666667,33,3.59583239106055,0.363636363636364
"71","90280","2015",8,3.09,15112.03,17108.12375,61,4.28859183848186,0.131147540983607
"72","90301","2011",1,1.9,10885,12603.2,3,4.27333333333333,0.333333333333333
"73","90302","2011",1,1.26,10000,11539.66,2,9.35,0.5
"74","90303","2014",2,3.84,19682.995,19682.995,14,4.44525385621627,0.142857142857143
"75","90304","2014",1,3.36,19818.19,19818.19,8,3.5302539107211,0.125
"76","90304","2016",1,3.315,14014.97,19816.22,23,4.37487244375126,0.0434782608695652
"77","90305","2013",1,2.115,11088,11501.7,4,4.41125,0.25
"78","90505","2013",1,2.88,15048,17287.49,29,4.96820310752674,0.0344827586206897
"79","90604","2012",1,3.924,20345.57,20345.57,15,5.69698570520158,0.0666666666666667
"80","90604","2013",3,3.33833333333333,15516.3266666667,15516.3266666667,37,4.62678695979459,0.0810810810810811
"81","90606","2016",1,3.5,14516,17058.81,76,4.83528440651589,0.0131578947368421
"82","90630","2012",6,2.5625,14752.1533333333,14752.1533333333,49,4.49615552562116,0.122448979591837
"83","90680","2013",1,3.185,17465.14,17465.14,5,4.29416444105303,0.2
"84","90723","2010",1,3.78,21216,26426.83,3,2.68009411166222,0.333333333333333
"85","90723","2016",1,4,12928.61,19928.61,55,4.9448929832793,0.0181818181818182
"86","90802","2015",1,4.335,21904.04,21904.04,10,3.54531829968955,0.1
"87","90804","2014",1,2.45,13685.96,13685.96,12,3.89132121963627,0.0833333333333333
"88","90805","2010",2,2.585,15209.25,16396.06,8,5.45816029187333,0.25
"89","90805","2011",2,2.3,11790,14620.1,6,3.77916666666667,0.333333333333333
"90","90805","2012",6,2.41333333333333,12668.9983333333,13239.53,22,11.5006330165447,0.272727272727273
"91","90805","2013",22,3.09795454545455,16811.3613636364,17088.1781818182,32,4.55082900133537,0.6875
"92","90805","2014",24,3.435625,17733.4508333333,17828.1716666667,74,11.5370667013828,0.324324324324324
"93","90805","2015",23,2.81260869565217,11741.0339130435,14940.8708695652,199,4.22643446295824,0.115577889447236
"94","90805","2016",3,2.57666666666667,11341.0533333333,15085.43,236,4.35906188898225,0.0127118644067797
"95","90806","2011",1,3.04,15090,16699.01,39,2.71505128205128,0.0256410256410256
"96","90806","2013",5,2.762,15626.068,15626.068,18,3.64280130569333,0.277777777777778
"97","90806","2014",4,2.77875,14567.5075,14607.03,32,4.56295161674933,0.125
"98","90806","2015",16,2.8840625,12554.431875,15753.100625,76,4.03845367134356,0.210526315789474
"99","90806","2016",1,2.8,7595,12495,84,4.47675942916413,0.0119047619047619
"100","90807","2013",1,3.145,16374,16374,31,5.10665072429878,0.032258064516129
