"","year","county","SASH_sys_installed","total_sys_installed","pop","med_age","pov","inc_under10","inc_over200","ed_LThighschool","ed_college","county_medianinc","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","SASH_installations_share","SASH_install_rate_10000","total_install_rate_10000","inc_threshold","inc_under15","inc_under20","inc_under25","inc_under30","inc_under35","inc_under40","inc_under45","inc_under50","inc_under60","inc_under75","inc_under100","inc_under125","inc_under150","inc_under200","total_hh","eligible_hh","eligibilityshare"
"11",2011,"Humboldt",5,56,133585,37.3,23833,4479,1205,5913,19621,40376,77.6861174533069,9.5602051128495,2.34382602837145,1.1902533967137,50.0782273458846,2.17314818280496,8.23480259034886,27.3253951674674,17.8410749709923,0.0892857142857143,0.374293520979152,4.1920874349665,32300.8,9105,13035,16672,19951,23425,26647,29242,31574,35837,41067,46601,49783,51184,52519,53724,21549.59584,0.401116741865833
"12",2011,"Imperial",0,8,171343,31.8,37463,4392,900,26481,11803,39402,14.219431199407,79.5923965379385,1.6090531857152,3.49299358596499,51.6420279789662,28.6157006705847,31.4624496536647,14.0233107987691,21.864330611697,0,0,0.466899727447284,31521.6,9098,13196,16413,19433,22259,24318,26283,28141,31809,35993,40922,44066,45771,47217,48117,20293.00832,0.421743008084461
"13",2011,"Inyo",0,20,18457,45.1,2127,390,97,975,2316,49571,66.6793086633797,18.6650051470987,1.46827761824782,1.10527171262935,50.5445088584277,3.8305250040635,9.93276283618582,23.5941320293399,11.5240830037384,0,0,10.8359971826407,39656.8,971,1569,2089,2648,3075,3390,3745,3973,4597,5319,6329,7134,7406,7813,7910,3368.3784,0.425837977243995
"14",2011,"Kern",0,934,829254,30.6,169635,17314,6740,116141,59274,48021,39.1984844209374,48.5308482081485,4.00106601837314,5.66870946658081,51.6190455517851,14.6126518533525,28.2470856914931,14.4162505685121,20.4563378651173,0,0,11.2631352999202,38416.8,35571,50622,65521,80703,93523,106516,119246,129595,150273,175080,204429,223604,234297,244259,250999,102401.89648,0.407977308594855
"15",2011,"Kings",7,125,152335,31,26042,2565,722,22689,10129,48838,36.0731283027538,50.1532805986805,3.77523221846588,7.21305018544655,56.7111957199593,16.7801227557685,28.2852334351431,12.6273140933741,17.0952177766108,0.056,0.459513572061575,8.20559950109955,39070.4,4824,7271,9554,12196,14501,16943,18844,20720,24243,28695,33040,36436,38291,39994,40716,16488.98336,0.404975522153453
"16",2011,"Lake",25,64,64392,44.3,13543,1893,466,4005,5596,39525,74.4455833022736,16.747422040005,1.12902223878743,2.23630264629147,50.4068828425891,4.78475587029445,11.5734720416125,16.1710735442855,21.0321157907815,0.390625,3.88246987203379,9.93912287240651,31620,4173,6278,8262,9805,11460,12963,14220,15660,17592,19760,21862,23590,24565,25188,25654,10341.22,0.403103609573556
"17",2011,"Lassen",0,0,35001,37,3562,605,231,4431,2604,52484,66.6095254421302,17.3566469529442,1.32567640924545,8.70832261935373,65.6695522985058,4.2284506156967,20.5281445448228,12.0639332870049,10.1768520899403,NA,0,0,41987.2,1315,1912,2491,2803,3215,3858,4274,4812,5490,6820,8400,9124,9652,9866,10097,4023.33504,0.398468360899277
"18",2011,"Los Angeles",70,3493,9787747,34.6,1566066,196705,203950,1194696,1594347,56266,28.0877611568832,47.4504296034624,13.7700943843358,8.62351672964166,49.313044156127,17.5130190839628,22.6727175526364,30.2572195871529,16.0002705423424,0.0200400801603206,0.0715179908103468,3.56874774143631,45012.8,385558,555464,718963,876566,1031183,1176997,1318419,1443430,1689978,2003794,2389337,2658379,2828458,3014568,3218518,1318739.02816,0.409734861871209
"19",2011,"Madera",2,199,149611,33.2,27777,2178,1110,24324,10238,47724,38.8721417542828,52.8283348149535,1.99183215137924,3.31660105206168,48.1622340603298,16.3998636463896,32.6764196187482,13.7535431695751,18.5661482110273,0.0100502512562814,0.133680010159681,13.3011610108882,38179.2,4665,7098,10016,12458,15320,17475,19895,21808,25834,30106,34506,37894,39696,40922,42032,16690.2352,0.397084012181195
"20",2011,"Marin",1,291,250666,44.3,17502,3521,17903,12092,78780,89605,73.6051159710531,14.8979119625318,5.58192973917484,2.9844494267272,49.2507958797763,6.12887268317203,8.4385358875048,54.9774939809484,6.98219942074314,0.00343642611683849,0.0398937231216041,11.6090734283868,71684,7033,10152,13554,16440,20327,23362,27068,30031,35979,44350,56381,67294,74811,84929,102832,42499.4509333333,0.413290132773196
"21",2011,"Mariposa",0,16,18290,48.4,2611,616,165,1005,2047,49174,83.1547293603062,9.44231820667031,1.09349371241115,0.984144341170038,50.6232914160744,2.31820667031165,9.93475682087782,20.2352708580467,14.2755604155276,0,0,8.74794969928923,39339.2,1123,1579,2114,2482,2785,3162,3496,3857,4331,5045,6217,6911,7237,7442,7607,3112.17568,0.409119978966741
"22",2011,"Mendocino",11,88,87525,41.4,15298,2181,673,7721,9687,44527,69.1928020565553,21.666952299343,1.77549271636675,1.08426163953156,50.2210796915167,8.09825764067409,16.3355548503121,20.4950809266899,17.4784347329334,0.125,1.25678377606398,10.0542702085119,35621.6,5023,7254,9759,11873,13829,15480,17228,18733,22021,25351,28896,31274,32355,33429,34102,14034.25232,0.411537514515278
"23",2011,"Merced",1,106,253606,29.5,57461,5427,2026,38203,14936,43945,32.4262832898275,54.4048642382278,7.45408231666443,3.87885144673233,50.3422631956657,17.8430321049187,31.8975018368846,12.4707768352147,22.6575869656081,0.00943396226415094,0.0394312437402901,4.17971183647075,35156,11045,16020,20979,26244,30720,34296,37703,41168,47427,54839,62633,67753,70076,72053,74079,30831.5712,0.416198533997489
"24",2011,"Modoc",0,2,9587,46.5,1816,300,62,813,870,35402,78.9610931469699,13.4557212892459,0.761447793887556,1.1265255032857,50.2972775633671,5.2153958485449,16.0102402520677,17.1327294210319,18.9423177219151,0,0,2.08615833941796,28321.6,664,962,1515,1709,1937,2220,2386,2574,2802,3019,3488,3767,3857,3885,3947,1643.87808,0.416487985812009
"25",2011,"Mono",0,4,14016,36.5,1554,249,110,1122,2618,60469,68.6572488584475,25.7776826484018,0.556506849315068,1.28424657534247,53.8955479452055,8.86130136986301,13.5115606936416,31.5269749518304,11.0873287671233,0,0,2.85388127853881,48375.2,545,708,1028,1302,1621,1892,2206,2382,2693,3333,4408,4753,5129,5306,5416,2324.80704,0.429247976366322
"26",2011,"Monterey",55,284,411385,32.8,59315,5384,6794,64200,46441,59737,33.5809521494464,54.5559512378915,6.1788835275958,3.12310852364573,51.4518030555319,23.5944431615154,30.3283683621264,21.938936995413,14.4183672229177,0.193661971830986,1.33694714197163,6.90350887854443,47789.6,10845,16733,22801,29276,35023,40579,46660,51876,62853,76433,92805,104048,111511,118423,125217,49570.11072,0.395873649105153
"27",2011,"Napa",2,150,135377,39.5,12906,1547,4359,12968,21894,68641,57.3081099448208,31.469895181604,6.8024849125036,2.0018171476691,49.8253026732754,13.1558536531316,18.1246418538344,30.6000083858614,9.53337716155625,0.0133333333333333,0.147735582853808,11.0801687140356,54912.8,3679,5576,7713,9602,11698,14176,16215,18266,21833,27020,33102,38335,41567,45281,49640,20018.39576,0.403271469782434
"28",2011,"Nevada",0,126,98392,47.3,10072,2105,1843,2431,17325,58077,86.849540613058,8.31876575331328,1.39238962517278,0.530530937474591,49.6656232214001,1.91783884868689,4.53155873690489,32.2950452969467,10.2366046020002,0,0,12.8059191804212,46461.6,4430,6363,8473,10591,12311,14141,15996,17947,21332,25815,31638,35483,37624,39718,41561,16566.31632,0.398602447486827
"29",2011,"Orange",3,1772,2989948,36,320473,38785,97455,260637,601127,75762,44.7879026658658,33.2540565922886,17.809640836563,1.65598197694408,49.4861783549413,12.2974379487536,16.1819697851133,37.3217116181349,10.7183469411508,0.00169300225733634,0.0100336193137807,5.92652447467314,60609.6,71639,104898,141026,177514,213607,250168,287780,322850,393408,488798,622165,728327,802085,889709,987164,397284.6496,0.402450504272846
"30",2011,"Placer",2,605,343554,40,24576,4905,9310,9567,66535,74645,76.5440076378095,12.5942355495788,5.97140478643823,1.33516128468887,48.8508356764875,2.50382763699448,5.29581737262804,36.8304807032305,7.15346059134809,0.00330578512396694,0.0582150113228197,17.610040925153,59716,9332,14083,19037,23930,29027,34507,39728,43506,53372,65676,84653,99783,110025,121426,130736,53091.8056,0.406099357483784
"31",2011,"Plumas",0,11,20192,49,2680,738,238,907,2244,44151,85.4496830427892,8.00812202852615,1.03011093502377,1.35697305863708,50.6636291600634,1.75316957210777,8.18444324129219,20.2490525175961,13.2725832012678,0,0,5.44770206022187,35320.8,1663,2195,2477,3185,3737,4180,4810,5290,6144,6924,8025,8633,8966,9196,9434,3765.42288,0.399133228747085
"32",2011,"Riverside",105,1829,2154844,33.5,301763,32663,28952,220009,216150,58365,40.2455583791681,44.954530351153,5.91792259671698,6.30481835343997,49.8159031465851,12.9912420574297,20.6807252245647,20.317981342989,14.0039371759626,0.0574084199015856,0.487274252799739,8.48785341305449,46692,66087,98106,134232,167473,202220,232752,264276,291177,344506,415545,506003,567902,606340,643944,672896,273379.2984,0.40627273516264
"33",2011,"Sacramento",0,6,1408480,34.7,205715,26016,19726,100444,213407,56553,49.0433658979893,21.2078978757242,14.3250880381688,10.2250653186414,49.0001277973418,5.42918607292968,13.4225102729429,28.5179567701199,14.6054612064069,0,0,0.0425991139384301,45242.4,54258,78203,102844,127741,154432,179556,203999,224933,268156,323701,391442,436043,463460,491250,510976,205013.88032,0.401220175350701
"34",2011,"San Benito",25,67,54873,33.9,6179,711,845,6624,5415,65570,38.5891057532849,55.5774242341407,2.43471288247408,1.32669983416252,49.9644633972992,17.9013358117836,23.3560170656888,19.0931208349494,11.2605470814426,0.373134328358209,4.55597470522844,12.2100122100122,52456,1506,2139,2900,3393,4289,4891,5559,6081,7537,9331,11740,13592,14652,15940,16785,6438.5936,0.383592112004766
"35",2011,"San Bernardino",18,1149,2023452,31.4,317059,33204,19878,214401,194230,55853,33.8896598486151,48.6308545989724,6.27595811514185,8.70833605146057,49.7758780539395,13.6952099679162,20.9872168476447,19.0127244197463,15.6692128105831,0.0156657963446475,0.0889568914903838,5.67841490680283,44682.4,64296,93344,123451,153037,183160,212407,240792,267106,319064,381931,463545,516629,548272,578944,598822,238988.9848,0.399098538129862
"36",2011,"San Diego",101,3637,3060849,34.6,387565,56376,69062,223308,574345,63857,49.0100295702271,31.620573246181,10.8895930508169,5.03376677516597,50.1886894779847,10.3310878779058,13.6792325692513,35.1827916151085,12.6620097887874,0.0277701402254605,0.329973807920613,11.8823241525472,51085.6,103697,146925,193356,239876,287355,333604,379606,422998,503206,607894,751841,852486,920357,994986,1064048,431705.38048,0.405719836398358
"37",2011,"San Francisco",36,542,797983,38.4,96801,21561,42558,55393,282446,72947,41.9567835405015,14.91623255132,33.4955757202848,6.17306383719954,50.6890497667244,4.96602057938578,10.9307075271576,55.7351040423076,12.1307095514566,0.0664206642066421,0.451137430246008,6.79212464425934,58357.6,41819,56120,69971,82084,93833,104257,116073,125498,145902,172758,210723,243472,265960,295808,338366,142550.84704,0.421291876370557
"38",2011,"San Joaquin",0,307,680277,32.5,110748,10973,7414,73534,60908,53764,36.5430552554327,38.3132165279732,14.3914905251831,7.408746731111,49.8466066028985,11.3840391487585,21.6807010095292,17.9580620813284,16.279838947958,0,0,4.5128675524823,43011.2,23165,34794,45868,56095,67648,79140,88907,98849,116552,138066,164971,183806,194586,205488,212902,85022.07808,0.399348423593954
"39",2011,"San Luis Obispo",48,374,267871,39.1,33330,5901,4950,15226,41521,58630,71.3690545075801,20.35942673899,3.24521878068175,2.19583306890257,51.2937197382322,5.30292566197909,11.2171151990217,30.5888506619321,12.4425563050871,0.128342245989305,1.79190729866242,13.9619443687447,46904,11161,16149,21110,26171,31300,35763,40294,44095,51861,62567,75824,85190,91241,97043,101993,41741.4208,0.409257701999157
"40",2011,"San Mateo",3,448,711622,39.2,48891,8047,38579,41949,186903,87633,43.1359626318467,24.8731770518618,24.6054787513596,2.8817265345928,49.1599472753793,9.13799741997858,10.3905143117575,46.2947459155264,6.87036095005494,0.00669642857142857,0.042157212677517,6.29547709317587,70106.4,14875,21847,28873,36980,44823,53066,61253,68983,86216,110274,142738,170335,191157,217844,256423,102425.31808,0.399438888399247
"41",2011,"Santa Barbara",0,376,419793,33.4,57170,7114,9514,41945,63995,61896,48.8493138284821,41.8520556560019,4.9798352997787,1.84662440774382,50.1792550137806,15.2632368810342,20.5641978516554,31.374558147972,13.6186167944677,0,0,8.95679537295763,49516.8,13429,20013,26392,32502,39237,44918,51564,57349,68922,83712,100853,113637,122675,132121,141635,56789.9376,0.400959774067144
"42",2011,"Santa Clara",13,2151,1762754,36,160396,22776,88099,118693,469880,89064,35.8594562826123,26.5642284743078,31.7890074281494,2.56524733456852,50.2229465937958,7.98801194040689,12.0127806521088,47.5560089711514,9.09917095635579,0.00604370060437006,0.0737482371334855,12.2024967749329,71251.2,41498,59779,79057,97974,115339,132902,152982,169084,203357,253680,329654,394298,444284,511553,599652,241103.27584,0.402071994823664
"43",2011,"Santa Cruz",2,263,259402,36.7,34382,5061,7505,21745,53394,66030,60.1865058866161,31.4211147176969,4.1695900571314,0.986114216544206,49.8774103515008,12.1467837564861,15.6956013338915,38.5399373475192,13.2543311154116,0.00760456273764259,0.0771004078611576,10.1387036337422,52824,9964,13594,17673,21374,25636,29487,33135,36082,42721,51928,64496,73240,78927,86329,93834,37956.8536,0.40451066351216
"44",2011,"Shasta",0,90,177231,41.6,30023,4747,1869,10536,18793,44058,82.6932082987739,8.25024967415407,2.60056084996417,0.930988371108892,49.1911685878881,1.41058844107408,11.5005512318121,20.5134642463406,16.9400387065468,0,0,5.07811838786668,35246.4,10898,15192,19497,23495,27804,31645,35218,38372,44073,51446,58883,62890,64980,67278,69147,27993.28448,0.404837295616585
"45",2011,"Sierra",0,0,3277,51.5,540,115,14,149,384,50308,90.570643881599,7.53738175160207,0.091547146780592,1.15959719255417,48.0622520598108,3.44827586206897,8.13318777292576,20.9606986899563,16.4784864205066,NA,0,0,40246.4,269,325,342,451,480,566,616,656,780,899,1096,1258,1290,1314,1328,568.464,0.428060240963855
"46",2011,"Siskiyou",0,17,44687,46.9,8085,1501,239,2241,5396,37865,79.862152303802,10.1685053818784,1.31581891825363,1.16141159621366,49.7795779533198,1.9603016537248,9.55080122741221,22.9969314694852,18.0925101259874,0,0,3.80423836910063,30292,3894,5561,6991,8136,9192,10487,11566,12411,14167,15833,17806,18701,19131,19543,19782,8197.6704,0.414400485289657
"47",2011,"Solano",11,274,411620,36.7,42525,6341,7343,27903,55181,69914,41.2139837714397,23.6305330158884,14.3683494485205,14.6081337155629,49.9883387590496,6.68091929449492,12.4989921251377,24.7180190107596,10.3311306544871,0.0401459854014599,0.267236771779797,6.65662504251494,55931.2,11384,16100,21396,26725,32174,37273,42707,48355,59429,75335,96104,111243,121260,131969,139312,54923.21088,0.394246087056391
"48",2011,"Sonoma",4,909,478551,39.7,50592,7866,11387,36230,81695,64343,66.8823176631122,24.2862307256698,4.0223508048254,1.49639223405656,49.1726064724554,8.51591575401577,13.8654481299058,31.2651886550554,10.5719139652827,0.0044004400440044,0.0835856575370232,18.9948406752885,51474.4,15613,23809,32607,40170,48174,56089,64929,72184,86096,105818,131052,148779,160853,172783,184170,74235.18528,0.403079683336048
"49",2011,"Stanislaus",0,54,512469,32.6,91291,9773,4439,58473,43618,50671,47.3620843407113,41.3314756599911,5.21358365091352,2.86670998636015,49.5190928622024,12.1027808511344,22.745325330543,16.9669009674144,17.8139555758495,0,0,1.05372227393267,40536.8,20195,30422,39862,49206,57585,66181,73899,81357,95000,112428,133431,145874,154095,160494,164933,67009.60448,0.406283790872657
"50",2011,"Sutter",0,84,94192,34.4,14125,1295,807,9622,9213,50010,51.1773823679293,28.2847800237812,13.8323849159164,1.91099031764906,49.750509597418,11.0635722779005,20.3321781759784,19.4679232524723,14.9959656871072,0,0,8.9179548156956,40008,3292,5494,7244,8917,10753,12431,14303,15831,18696,21875,25721,28382,29600,30861,31668,12433.9952,0.392635947960086
"51",2011,"Tehama",0,32,62985,39.4,12796,1561,392,6001,4146,38753,72.3839009287926,21.4193855679924,1.21933793760419,0.663650075414781,49.7261252679209,6.85560053981107,19.0019315411165,13.1281466704664,20.3159482416448,0,0,5.08057474001746,31002.4,3742,5637,7401,9009,10756,12301,13586,14723,16808,18884,20955,22274,22881,23418,23810,9359.23856,0.393080157916842
"52",2011,"Trinity",0,1,13711,49.3,2366,325,80,621,1452,37672,83.4804171832835,6.73911457953468,1.15235941944424,0.386550944497119,51.8999343592736,0.955437240172125,8.01600619594682,18.7427391248225,17.2562176354752,0,0,0.729341404711545,30137.6,809,1316,1750,2218,2612,2994,3305,3548,3953,4571,5013,5332,5518,5651,5731,2228.84288,0.388909942418426
"53",2011,"Tulare",54,379,436234,29.5,102165,9304,2908,64262,26381,43550,33.351366468455,59.7839691541695,3.47313597747998,1.63444389937511,50.1258498879042,18.8889449240545,31.1673068715322,12.794882241105,23.4197701233742,0.142480211081794,1.23786774987736,8.6879977259911,34840,17719,26049,35344,44076,52114,59383,65897,71640,82228,94204,108305,116322,121205,125416,128324,51856.784,0.404108226052804
"54",2011,"Tuolumne",0,25,55736,47.2,6850,1109,763,3606,4911,47359,81.5415530357399,10.5156451844409,1.08547437921631,2.10277020238266,52.6948471365006,1.77443662982632,11.9368400145652,16.2567446787381,12.2900818142673,0,0,4.48543131907564,37887.2,2641,3975,5544,6806,8254,9435,10285,11621,13450,15608,18056,19852,20654,21394,22157,8935.95664,0.403301739405154
"55",2011,"Ventura",27,623,815745,36.2,79964,9154,23277,73014,136961,76728,49.3195790351151,39.685808677957,6.89308546175582,1.76954808181478,49.6988642284047,13.3549087030874,17.0094698955167,31.9066755192135,9.80257310801782,0.043338683788122,0.330985785999301,7.63719054361351,61382.4,18851,27918,37652,47353,57110,66086,76882,86239,104579,130018,166310,197224,218021,241705,264982,106923.45824,0.403512156448363
"56",2011,"Yolo",2,566,198889,30.1,35674,4524,3810,13423,38229,57920,50.2692456596393,29.8357375219343,12.8845738075007,2.51698183408836,48.7638833721322,9.07139158022817,14.150475969597,40.3008676034957,17.9366380242246,0.00353356890459364,0.100558603039887,28.4580846602879,46336,8677,12374,16443,20011,22331,25140,28067,30946,35907,42540,50813,56935,61338,66050,69860,28836.2688,0.412772241626109
"57",2011,"Yuba",0,80,71817,31.7,14222,1248,435,7416,4508,46617,58.8927412729577,24.6278736232368,7.00391272261442,2.6163721681496,50.4782990099837,7.69455699903922,20.4568023833168,12.4351759902902,19.8031106840999,0,0,11.1394238133033,37293.6,2796,4366,5843,7650,8932,10228,11654,12589,14831,17465,20347,22014,22759,23450,23885,9526.50112,0.398848696671551
"58",2012,"Alameda",59,1338,1515136,36.6,178897,27962,52608,103832,369691,71516,34.0946291290023,22.4033354101546,26.4309606530371,12.2506494466503,49.0380401495311,7.35841535017319,12.1433408221479,43.236033321911,11.8073229069866,0.0440956651718984,0.389403987496832,8.83089042831799,57212.8,54484,76316,98530,118602,137580,156397,175517,193832,231140,280562,345449,400623,438581,486571,539179,220741.51424,0.409403026156434
"59",2012,"Amador",0,27,37764,48.4,3502,850,411,2600,3749,53462,80.097447304311,12.3742188327508,1.28693994280267,2.60830420506302,54.3957207922889,1.54644635102214,12.3750594954783,17.8438838648263,9.27338205698549,0,0,7.14966634890372,42769.6,1513,2260,2963,3727,4463,5121,5980,6701,8022,9416,11172,12329,13158,13825,14236,5596.81728,0.393145355436921
"60",2012,"Butte",36,284,220101,37.3,44156,6358,1822,13005,26290,43339,75.165492205851,14.2007532905348,4.19852703985897,1.45660401361193,49.5049999772832,3.26259308226678,12.1819850874892,24.6262505151935,20.0616989473015,0.126760563380282,1.63561274142326,12.903167182339,34671.2,12785,18334,24688,30255,35344,39862,43886,47562,55072,63001,71987,78051,80592,83252,85074,35009.34736,0.411516413475327
"61",2012,"Calaveras",0,70,45507,49.5,4643,989,727,1472,4779,54686,83.3805788120509,10.4115850308744,1.40198211264201,1.04599292416551,50.2582020348518,1.33386072472367,6.14819146270153,19.9607384512572,10.2028259388665,0,0,15.382248884787,43748.8,2025,3183,4024,5101,5725,6532,7742,8436,9964,11786,14535,16082,17152,17891,18618,7439.2096,0.399570823933828
"62",2012,"Colusa",0,16,21329,33.9,3206,274,165,3203,1434,52165,40.0159407379624,55.042430493694,1.04552487223967,0.829856064513104,51.6620563551972,20.5682404238361,30.5396643783371,13.6727688787185,15.0311782080735,0,0,7.50152374701111,41732,724,1062,1529,1977,2373,2702,2988,3300,4041,4898,5728,6266,6490,6719,6884,2801.0704,0.40689575828007
"63",2012,"Contra Costa",58,1678,1052047,38.5,106304,14721,41797,62221,225588,78187,47.8352202895878,24.2506275860299,14.4749236488484,9.14502869168393,48.8039983004562,7.52865603913133,10.8836766714886,39.459778096909,10.1044915293708,0.034564958283671,0.551306167880332,15.9498577535034,62549.6,28503,41894,54385,67255,80256,93176,106948,119143,144767,179483,225261,265599,294656,331348,373145,150667.79424,0.403778140508382
"64",2012,"Del Norte",0,0,28496,38.8,5380,721,224,3133,2038,39626,64.9705221785514,17.96392476137,3.03902302077485,3.80755193711398,55.0147389107243,2.65651319483436,20.0242873577911,13.025693467979,18.8798427849523,NA,0,0,31700.8,1842,2414,3135,3684,4391,4878,5203,5517,6298,7385,8393,9031,9303,9479,9703,3924.49312,0.404461828300526
"65",2012,"El Dorado",0,458,180441,43.5,14439,2363,5137,6373,31872,70117,80.0699397587023,11.9983817425086,3.42660481819542,0.750383781956429,50.1116708508598,2.95498251506032,6.4130172274996,32.0721300917727,8.00206161570818,0,0,25.3822579125587,56093.6,4810,7285,9842,12680,15720,18470,21329,24052,29144,36073,45419,52432,57411,62709,67846,27154.86112,0.400242624767857
"66",2012,"Fresno",83,1728,930517,30.7,226967,21153,8940,118165,88978,45741,32.6609830878963,50.2901075423662,9.53985794993536,5.09136318842106,49.9617954320018,13.7345153285754,26.187600421076,19.7192088204333,24.3914941908638,0.0480324074074074,0.891977255654652,18.5703216598944,36592.8,41850,61331,80817,97461,113361,127659,141726,153994,175780,202805,234351,254580,266790,278142,287082,117915.77088,0.410738990532322
"67",2012,"Glenn",23,77,28078,36.5,5383,632,323,3595,2163,42641,55.8230643208206,37.4848635942731,2.42182491630458,0.840515706246884,50.5983332146164,12.7110193033692,25.8763406031815,15.5689915784928,19.1715934183346,0.298701298701299,8.19146662867726,27.4236056699195,34112.8,1452,2125,2797,3447,4106,4637,5004,5528,6171,7143,8274,8802,9063,9217,9540,3989.06704,0.418141199161426
"68",2012,"Humboldt",19,87,134317,37.5,25729,4414,1093,6257,19670,40830,77.346128933791,9.83345369536246,2.38614620636256,1.22620368233358,50.0956692004735,2.08387620331008,8.64417550839965,27.1745137046861,19.1554308092051,0.218390804597701,1.41456405369387,6.47721435112458,32664,9041,12793,16509,19670,23020,26227,28822,31076,35723,40645,46350,49563,50929,52214,53307,21454.88,0.402477723375917
"69",2012,"Imperial",0,8,173487,31.8,37544,4570,920,26245,12300,41255,13.7624144748598,80.3414665075769,1.54478433542571,3.25269328537585,51.48397286252,28.4736032094624,30.8126702357472,14.4406875176106,21.6408145855309,0,0,0.461129652365883,33004,9027,13039,16126,18643,21438,23310,25632,27601,30977,35202,40506,43567,45613,47008,47928,20322.236,0.424015940577533
