"","pop","male_pop","white_pop","hisp_pop","med_age","black_pop","asian_pop","nonfluent_english_pop","pov","inc_under10","inc_10to15","inc_15to20","inc_20to25","inc_25to30","inc_30to35","inc_35to40","inc_40to45","inc_45to50","inc_50to60","inc_60to75","inc_75to100","inc_100to125","inc_125to150","inc_150to200","inc_over200","medianinc","ed_LThighschool","ed_college","year","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","zip_code"
"17",48212,23054,1792,27271,31.9,16820,1476,14037,12886,1634,1861,1124,1200,960,901,988,1045,464,1425,1149,1296,609,403,225,133,35126,10026,3314,2011,3.7169169501369,56.5647556624907,3.06147847009043,34.8875798556376,47.8179706297187,29.1151580519373,39.5783988630981,13.0822674877625,26.7277856135402,"90018"
"18",63894,30962,8673,28692,35.9,14656,10504,14056,13004,1811,1781,1763,1667,1416,1629,1530,1312,976,1712,1892,2112,1497,710,981,900,40727,9440,11749,2011,13.5740445112217,44.905624941309,16.4397282999969,22.9379910476727,48.4583841988293,21.9989357373149,25.7192676547515,32.0101351351351,20.352458759821,"90019"
"19",40596,20069,4695,14167,34.8,2277,18983,7829,6933,1236,1135,1389,977,1314,1168,1448,976,792,1278,1694,1688,900,252,308,347,39103,4763,10595,2011,11.5651788353532,34.897526849936,46.7607646073505,5.60892698788058,49.4359050152724,19.2851512464282,18.3566500944232,40.8332369830809,17.0780372450488,"90020"
"20",2603,1797,633,1165,48.3,684,76,573,1137,445,371,84,37,95,89,60,0,0,21,52,64,40,51,24,52,13576,537,410,2011,24.3180945063388,44.7560507107184,2.91970802919708,26.2773722627737,69.0357280061468,22.0130618517096,26.5054294175716,20.2369200394867,43.6803688052247,"90021"
"21",67322,33793,784,66025,29.5,256,428,27410,15674,1593,1374,1519,1170,1114,1409,959,1037,772,1553,1841,1398,693,361,271,103,37262,17007,1698,2011,1.16455244942218,98.0734381034432,0.635750571878435,0.38026202430112,50.1960726062803,40.7147737738035,51.8269084260247,5.17446289806491,23.282136597249,"90022"
"22",44706,22554,964,43124,28.3,227,341,23874,14620,1088,787,1183,783,1009,707,919,463,527,941,956,700,324,202,109,7,33340,12111,1334,2011,2.15631011497338,96.4613251017761,0.762761150628551,0.507761821679417,50.4496040799893,53.402227888874,55.6801986115581,6.13305135396074,32.7025455196171,"90023"
"23",49427,22855,28100,4848,23.6,1428,13035,473,11029,2771,684,818,519,543,605,370,456,441,769,1314,1482,1394,1066,1253,2837,67151,469,13229,2011,56.851518400874,9.80840431343193,26.3722257065976,2.88910919133267,46.2399093612803,0.956966839986242,2.59359619532157,73.1571088867998,22.313715175916,"90024"
"24",42653,21963,22418,8178,33.9,1463,9120,3439,4969,1268,528,838,856,854,747,704,832,622,1545,2036,2774,2506,1337,1569,1812,71947,2233,19012,2011,52.5590228119945,19.1733289569315,21.3818488734673,3.43000492345204,51.4922748692941,8.06273884603662,7.99871046315865,68.1018734104667,11.6498253346775,"90025"
"25",70052,35936,14111,40033,33.4,2197,12510,18382,14390,1684,1985,1385,1668,1492,1643,1370,1263,1228,1902,2301,3012,1417,947,1054,925,45560,11318,14169,2011,20.1436076057786,57.147547536116,17.8581625078513,3.1362416490607,51.2990350025695,26.2405070519043,27.3646034816248,34.2577369439072,20.5418831725004,"90026"
"26",45491,22691,27242,9852,38.7,1413,6160,3884,9329,2570,1778,1399,1083,1131,792,838,860,640,1619,1765,1974,1439,1140,998,1676,47980,2856,14443,2011,59.8843727330681,21.657031061089,13.5411400057154,3.10610890066167,49.8801960827416,8.53795256204524,9.61324851055236,48.6148978424047,20.5073531028115,"90027"
"27",27434,15038,13789,8746,33.9,1621,2463,4685,6906,2156,1618,1273,1108,910,865,595,832,598,1058,1386,820,590,395,306,153,31415,2749,7011,2011,50.2624480571554,31.8801487205657,8.97791062185609,5.90872639790042,54.8151928264198,17.0773492746227,15.7834299822013,40.2537750473675,25.1731428154844,"90028"
"28",38563,19445,7891,22651,34.6,1565,5960,13177,8957,1353,1223,1304,855,994,997,1029,664,716,1329,1178,1078,527,189,288,182,36281,7503,5503,2011,20.4626196094702,58.7376500790914,15.4552291056194,4.05829421984804,50.4239815367062,34.1700593833467,32.9122252928017,24.139141115059,23.2269273656095,"90029"
