"","year","county","zip_code","SASH_sys_installed","SASH_avg_size_DC","SASH_avg_incentive","SASH_avg_syscost","total_sys_installed","total_avg_size_DC","SASH_installations_share","county_medianinc","pop","med_age","pov","inc_under10","inc_over200","medianinc","ed_LThighschool","ed_college","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","SASH_install_rate_10000","total_install_rate_10000","inc_threshold","inc_under15","inc_under20","inc_under25","inc_under30","inc_under35","inc_under40","inc_under45","inc_under50","inc_under60","inc_under75","inc_under100","inc_under125","inc_under150","inc_under200","total_hh","eligible_hh","eligibilityshare"
"13",2011,"Alameda","94555",0,0,0,0,10,0,0,70821,33656,36.7,1970,324,1481,108791,1080,12090,21.9009983361065,7.61231281198003,63.8073449013549,3.31590206798194,51.0369622058474,1.09935821250297,5.46946216955333,61.2275903980553,5.85333967197528,0,2.97123841217019,56656.8,537,774,1111,1339,1484,1618,1861,2080,2615,3750,5024,6557,7828,9638,11119,2436.1388,0.219096933177444
"14",2011,"Alameda","94560",0,0,0,0,11,0,0,70821,42322,36.4,2722,260,752,81777,2702,6945,28.9329426775672,35.2393554179859,26.1636973677993,4.25310713104296,49.6290345446813,9.97117338500071,11.2269913159098,28.8569410395978,6.43164311705496,0,2.59912102452625,56656.8,608,985,1469,1930,2233,2609,2987,3383,4561,6010,7959,9931,11156,12255,13007,4167.17104,0.320379106634889
"15",2011,"Alameda","94566",1,1.84,9462,12235.37,130,1.84,0.00769230769230769,70821,40443,41.3,1737,360,3286,118306,902,12845,64.8888559206785,10.9067082066118,18.0847118166308,2.23029943377099,48.6190440867394,2.66795242687239,4.10391737567678,58.4421493243551,4.2949336102663,0.247261578023391,32.1440051430408,56656.8,616,997,1299,1682,2026,2336,2635,2884,3562,4488,6058,7571,9141,11045,14331,3335.33104,0.232735401577001
"16",2011,"Alameda","94568",0,0,0,0,52,0,0,70821,44101,34.7,1393,313,2121,111545,1871,12849,50.5521416747919,12.8795265413483,26.2261626720483,6.95449082787238,50.2777714791048,2.04077005056575,6.82622496260352,46.8787624502901,3.15865853382009,0,11.7911158477132,56656.8,505,715,919,1204,1477,1798,2056,2381,3068,4312,6047,8168,10034,11995,14116,2838.32216,0.201071277982431
"17",2011,"Alameda","94577",0,0,0,0,12,0,0,70821,44521,37.7,3885,801,681,62539,3581,7944,28.373127288246,25.7339233170863,25.8237685586577,15.2242761842726,49.1767929741021,8.53529794928236,14.3515549855723,31.837127284386,8.72621908762157,0,2.6953572471418,56656.8,1641,2254,3067,3694,4329,5100,5886,6646,7657,9371,11498,12938,14128,15366,16047,7319.00248,0.456097867514177
"18",2011,"Alameda","94578",0,0,0,0,3,0,0,70821,37757,33.2,6007,747,249,52512,4092,4919,21.3152528008051,37.2619646688031,20.9788913314087,17.6258706994729,47.5885266308234,16.9637418227084,19.7280879375181,23.7151672934143,15.9096326508992,0,0.794554652117488,56656.8,1589,2181,2737,3402,4166,4661,5571,6135,7585,9183,10871,11790,12358,12974,13223,7100.236,0.536961052711185
"19",2011,"Alameda","94579",0,0,0,0,2,0,0,70821,20167,39.6,1591,189,189,66489,1465,2548,27.8474735954778,20.2707393266227,37.7795408340358,8.36019239351416,47.8157385828333,6.15857589130758,13.5887208978759,23.6341712271589,7.88912579957356,0,0.991719145138097,56656.8,281,622,1017,1290,1551,1706,2033,2303,2939,3544,4796,5376,5825,6366,6555,2726.37248,0.415922575133486
"20",2011,"Alameda","94580",0,0,0,0,7,0,0,70821,28430,36.3,2109,157,182,70208,2849,3224,31.3647555399226,36.813225466057,22.8174463594794,6.07808652831516,47.1649665845937,11.9662328526205,19.0428447296304,21.5493616736849,7.4182201899402,0,2.4621878297573,56656.8,460,843,1219,1520,1863,2218,2526,2890,3638,4535,5957,7239,7843,8414,8596,3387.92864,0.394128506281992
"21",2011,"Alameda","94586",0,0,0,0,1,0,0,70821,785,50.7,28,17,70,74375,19,216,73.1210191082803,15.2866242038217,3.94904458598726,0,45.859872611465,5.98726114649682,4.19426048565121,47.682119205298,3.56687898089172,0,12.7388535031847,56656.8,17,30,40,43,49,61,79,86,119,164,194,211,237,254,324,107.96744,0.333232839506173
"22",2011,"Alameda","94587",0,0,0,0,14,0,0,70821,68830,36.5,5272,543,1588,82634,3912,15308,14.014237977626,21.5385732965277,53.2994333866047,6.1789917187273,49.3999709429028,5.61673688798489,10.3429130423287,40.4727282341432,7.659450820863,0,2.03399680371931,56656.8,1294,1734,2493,3185,3837,4703,5321,5944,7094,9008,11859,14289,16130,18573,20161,6709.532,0.332797579485145
"23",2011,"Alameda","94588",0,0,0,0,53,0,0,70821,29918,35.9,1139,270,1993,120432,601,10546,54.4789090179825,10.0240657797981,29.0895113309713,2.77759208503242,51.8550705261047,2.63720836954342,3.50396455223881,61.4855410447761,3.80707266528511,0,17.7150879069457,56656.8,392,462,581,755,863,1077,1285,1519,1889,2789,4033,5439,6610,8379,10372,1765.3016,0.170198765908214
"24",2011,"Alameda","94601",1,2.64,15673,15703.96,5,2.64,0.2,70821,49479,30.5,14409,1420,170,36949,10120,3256,6.97467612522484,52.2282180318923,18.0702924473009,19.3758968451262,50.7973079488268,27.789567291174,39.0010790812394,12.5481732696162,29.121445461711,0.202105943935811,1.01052971967906,56656.8,2591,4016,5166,6200,7023,7498,8295,8946,10285,11537,12815,13544,14056,14375,14545,9837.34552,0.676338640082503
"25",2011,"Alameda","94602",0,0,0,0,28,0,0,70821,28827,41.3,2459,636,1090,71213,1513,8261,40.763867207826,12.9184445138238,22.9576438755334,19.4158254414264,46.3246262184757,3.74995663787422,8.95743295245989,48.9077023266829,8.53019738439657,0,9.7131161758074,56656.8,1335,2024,2535,2816,3242,3560,3884,4160,5221,6138,7378,8770,9507,10751,11841,4866.28648,0.410969215437885
"26",2011,"Alameda","94603",5,2.07,12227.5,15465.4,5,2.07,1,70821,32716,29.7,8083,900,89,39045,6307,1568,3.58845824672943,50.6204915026287,5.38268737009414,37.798019317765,47.8634307372539,25.1711700696907,37.9049221708035,9.42364324779133,24.706565594816,1.52830419366671,1.52830419366671,56656.8,1769,2272,2827,3368,4217,4699,5238,5609,6307,7205,7966,8561,8848,9073,9162,6073.64464,0.662916900240122
"27",2011,"Alameda","94605",1,5.06,20724.25,26418.77,12,5.06,0.0833333333333333,70821,40356,37.4,7283,1117,669,54210,3824,6680,16.9987114679354,22.098324908316,4.45286946179007,50.6021409455843,47.4997522053722,8.53900287441768,17.4380956723973,30.4619453691459,18.0468827435821,0.247794627812469,2.97353553374963,56656.8,2082,3007,3866,4614,5470,5946,6597,7174,8296,9533,11357,12610,13472,14514,15183,7920.89296,0.521694853454521
"28",2011,"Alameda","94606",1,5.52,25724.58,25724.58,2,5.52,0.5,70821,35835,36.1,8927,1396,293,37985,5739,5649,17.1619924654667,21.7775917399191,36.277382447328,20.613924933724,49.2200362773824,8.22938467978233,26.903243952747,26.4813425839115,24.9113994697921,0.279056788056369,0.558113576112739,56656.8,2855,4265,5410,6292,7095,7745,8545,9260,10385,12046,13290,14034,14408,14686,14979,10008.89,0.66819480606182
