"","Application.Number","Current.Application.Status","Program.Administrator","Utility","Low.Income.Program.Type","Program","First.Reservation.Request.Review.Date","First.Confirmed.Reservation.Date","First.Incentive.Claim.Request.Review.Date","First.Completed.Date","Incentive.Amount","Total.System.Cost","Incentive.Design.Description","Nameplate.Rating..KW.","CEC.PTC.Rating..KW.","Design.Factor","Host.Customer.Physical.Address.City","Host.Customer.Physical.Address.County","Host.Customer.Physical.Address.State","Host.Customer.Physical.Address.Zip.Code","Solar.Contractor.Company","Third.Party.Owned"
"3111","09161","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/24/2012","1/7/2013","3/31/2013","5/2/2013",14807.88,14807.88,"$7 AC",3.52,2.982,0.8615,"Lindsay","Tulare","CA","93247","","no"
"3112","09162","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/6/2012","1/22/2013","4/30/2013","5/13/2013",14707.24,14707.24,"$6.50 AC",2.972,2.779,0.9839,"San Francisco","San Francisco","CA","94134","","no"
"3113","09163","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/24/2012","4/19/2013","6/24/2013","7/9/2013",13039.57,13039.57,"$7 AC",2.88,2.499,0.94516,"Tulare","Tulare","CA","93274","","no"
"3114","09166","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/24/2012","12/11/2012","1/31/2013","3/5/2013",13192.95,13192.95,"$6.5 AC",3.08,2.679,0.96,"Goshen","Tulare","CA","93227","","no"
"3115","09171","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/7/2012","1/11/2013","2/28/2013","3/27/2013",11618.5,15795.14,"$4.75 AC",2.82,2.446,0.996,"Nipomo","San Luis Obispo","CA","93444","","no"
"3116","09172","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/25/2012","3/20/2013","4/30/2013","5/14/2013",33712,33712,"$7.00 AC",5.52,4.816,0.92891,"Kerman","Fresno","CA","93630","GRID Alternatives","no"
"3117","09173","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/25/2012","3/20/2013","7/31/2013","9/20/2013",24498.5,24498.5,"$6.50 AC",4.32,3.769,0.9839,"Clovis","Fresno","CA","93612","GRID Alternatives","no"
"3118","09174","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/10/2012","2/13/2013","3/25/2013","4/12/2013",18036.25,18036.25,"$7 AC",3.92,3.404,0.8948,"Yuba City","Sutter","CA","95993","","no"
"3119","09177","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/30/2012","12/3/2012","1/31/2013","2/25/2013",14823.5,16402.76,"$5.75 AC",2.99,2.578,0.91401,"Nipomo","San Luis Obispo","CA","93444","","no"
"3120","09178","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/18/2012","1/21/2013","3/31/2013","4/16/2013",13349.39,13349.39,"$5.75 AC",2.82,2.446,0.97,"Nipomo","San Luis Obispo","CA","93444","","no"
"3121","09179","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/26/2012","2/26/2013","3/31/2013","5/2/2013",16599.5,16599.5,"$7.00 AC",4.32,3.748,0.96249,"Lindsay","Tulare","CA","93247","","no"
"3122","09180","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/9/2012","3/7/2013","8/31/2013","9/19/2013",23822.9,23822.9,"$7 AC",3.92,3.404,0.97549,"Hawthorne","Los Angeles","CA","90250","","no"
"3123","09181","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/26/2012","9/12/2013","10/27/2013","11/7/2013",14968.72,14968.72,"$7.00 AC",3.12,2.728,0.97991,"Porterville","Tulare","CA","93257","","no"
"3124","09182","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/26/2012","4/30/2013","6/24/2013","7/9/2013",11739,12497.31,"$7.00 AC",1.98,1.677,0.9821,"Tulare","Tulare","CA","93274","","no"
