"","Application.Number","Current.Application.Status","Program.Administrator","Utility","Low.Income.Program.Type","Program","First.Reservation.Request.Review.Date","First.Confirmed.Reservation.Date","First.Incentive.Claim.Request.Review.Date","First.Completed.Date","Incentive.Amount","Total.System.Cost","Incentive.Design.Description","Nameplate.Rating..KW.","CEC.PTC.Rating..KW.","Design.Factor","Host.Customer.Physical.Address.City","Host.Customer.Physical.Address.County","Host.Customer.Physical.Address.State","Host.Customer.Physical.Address.Zip.Code","Solar.Contractor.Company","Third.Party.Owned"
"1","00048","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","11/17/2010","5/22/2011","8/16/2011","11/23/2011",9823,18762.19,"$4.75 AC",2.4,2.068,0.9925,"Oakland","Alameda","CA","94608","","no"
"2","00071","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","3/27/2009","5/5/2009","6/8/2009","6/25/2009",9433.5,13104.08,"$4.75 AC",2.4,1.986,0.99761,"Pleasanton","Alameda","CA","94566","","no"
"3","00097","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/6/2010","8/1/2011","10/31/2011","11/23/2011",10000,10363.85,"$5.25 AC",1.38,1.147,0.98745,"SAN FRANCISCO","San Francisco","CA","94124","","no"
"4","00177","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","4/1/2012","6/13/2012","10/17/2012","11/8/2012",20481.76,20481.76,"$7 AC",3.36,2.957,0.97472,"San Jose","Santa Clara","CA","95128","GRID Alternatives","no"
"5","00463","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/30/2010","9/14/2010","10/28/2010","11/12/2010",19866,20930.09,"$7.00 AC",3.22,2.838,0.97819,"Richmond","Contra Costa","CA","94804","","no"
"6","00545","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/22/2008","6/8/2009","9/28/2009","10/12/2009",10000,11550.32,"Subsidized 1kW AC",1.4,1.19,0.97758,"Marin City","Marin","CA","94965","","no"
"7","00548","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","11/4/2009","","12/31/2009","2/25/2010",32100.77,32100.77,"$7 AC",5.94,4.943,0.97483,"Riverside","Riverside","CA","92509","","no"
"8","00553","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","1/21/2011","11/4/2011","4/19/2012","4/25/2012",10609.77,10609.77,"$6 AC",2.115,1.821,0.86621,"Nevada City","Nevada","CA","95959","GRID Alternatives","no"
"9","00601","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","4/18/2009","8/1/2009","9/18/2009","9/24/2009",5310.5,9018.35,"$4.75 AC",1.36,1.118,0.96355,"Yountville","Napa","CA","94599","","no"
"10","00618","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","3/16/2009","6/17/2010","11/30/2010","12/30/2010",10000,11370.01,"Subsidized 1kW AC",1.33,1.088,0.95156,"Benicia","Solano","CA","94510","","no"
"11","00620","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","3/16/2009","4/6/2009","6/8/2009","6/25/2009",9806,9806,"Subsidized 1kW AC",1.4,1.15,0.99836,"Benicia","Solano","CA","94510","","no"
"12","00622","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/1/2010","11/15/2010","1/31/2011","2/15/2011",10000,11504.6,"Subsidized 1kW AC",1.38,1.183,0.98313,"Benicia","Solano","CA","94510","","no"
"13","00646","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","8/16/2011","11/1/2011","12/19/2011","1/4/2012",21748.47,21748.47,"$7 AC",3.68,3.19,0.9663,"Long Beach","Los Angeles","CA","90815","","no"
"14","00664","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","4/17/2009","9/15/2010","12/31/2010","3/15/2011",10885,12603.2,"$7 AC",1.9,1.555,0.9804,"Inglewood","Los Angeles","CA","90301","","no"
"15","00682","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","4/21/2009","4/29/2009","7/16/2009","8/14/2009",22953,27153.88,"$7 AC",3.68,3.279,0.9842,"San Diego","San Diego","CA","92102","","no"
"16","00723","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/8/2009","8/14/2009","9/28/2009","11/9/2009",8788,9937.87,"$6.5 AC",1.6,1.352,0.99788,"Pleasanton","Alameda","CA","94566","","no"
"17","00729","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","1/15/2010","8/13/2010","3/10/2011","3/16/2011",17938.91,17938.91,"$7 AC",3.42,2.829,0.99965,"Compton","Los Angeles","CA","90222","","no"
"18","00732","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","5/4/2009","6/28/2009","9/28/2009","10/5/2009",15528.5,18999.66,"$6.5 AC",2.87,2.389,0.997,"San Diego","San Diego","CA","92102","","no"
"19","00741","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/8/2009","8/17/2009","11/12/2009","12/3/2009",14179.77,14246.38,"$6 AC",2.87,2.401,0.97221,"Escondido","San Diego","CA","92026","","no"
"20","00744","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","6/25/2014","11/1/2014","3/26/2015","4/13/2015",11500.16,11500.16,"$6.00 AC",2.25,1.923,0.998,"Lynwood","Los Angeles","CA","90262","","no"
"21","00745","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","5/14/2009","7/20/2009","9/30/2009","11/17/2009",15370.47,15881.6,"$6 AC",3.42,2.89,0.999,"San Diego","San Diego","CA","92102","","no"
"22","00748","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","6/2/2009","7/17/2009","9/4/2009","12/7/2009",12096,14228.56,"$7 AC",2.1,1.728,1,"Compton","Los Angeles","CA","90222","","no"
"23","00750","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","6/5/2009","7/19/2009","9/4/2009","12/7/2009",11436,14717.76,"$6 AC",2.28,1.906,0.98082,"Long Beach","Los Angeles","CA","90813","","no"
"24","00751","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","7/13/2010","8/17/2010","11/30/2010","1/14/2011",15036,16647.65,"$6 AC",2.88,2.506,0.98078,"Long Beach","Los Angeles","CA","90813","","no"
"25","00752","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","8/31/2009","","2/22/2010","4/22/2010",10668,13346.6,"$7 AC",1.76,1.524,0.99668,"Long Beach","Los Angeles","CA","90813","","no"
"26","00754","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/17/2009","10/6/2009","12/18/2009","2/10/2010",11839.81,11839.81,"$6.5 AC",2.16,1.822,0.99838,"Compton","Los Angeles","CA","90222","","no"
"27","00755","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","5/21/2009","9/16/2009","11/23/2009","2/10/2010",9991.14,9991.14,"Subsidized 1kW AC",1.4,1.119,0.97933,"Lynwood","Los Angeles","CA","90262","","no"
"28","00756","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/30/2009","10/19/2009","12/18/2009","2/10/2010",12629.08,12629.08,"$7 AC",2.2,1.841,0.99638,"Lynwood","Los Angeles","CA","90262","","no"
"29","00757","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","6/5/2009","9/16/2009","3/4/2010","4/22/2010",9948.95,9948.95,"Subsidized 1kW AC",1.4,1.119,1,"Lynwood","Los Angeles","CA","90262","","no"
"30","00759","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","6/19/2009","12/10/2009","12/31/2009","2/25/2010",11719.5,13789.62,"$6.5 AC",2.16,1.803,0.99895,"Lynwood","Los Angeles","CA","90262","","no"
"31","00772","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","5/29/2009","7/13/2009","9/10/2009","9/17/2009",15090,17741.71,"$6 AC",3.2,2.515,0.9817,"Oakland","Alameda","CA","94607","","no"
"32","00773","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","5/25/2011","7/11/2011","11/21/2011","12/5/2011",17556,21778.94,"$6 AC",3.36,2.926,0.96686,"Oakland","Alameda","CA","94607","","no"
"33","00774","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/2/2009","8/12/2009","9/18/2009","9/24/2009",12120,14310.04,"$6 AC",2.38,2.02,0.98734,"Oakland","Alameda","CA","94607","","no"
"34","00776","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/26/2009","6/28/2010","7/30/2010","9/2/2010",9711,14824.63,"$6.5 AC",1.72,1.494,0.98695,"Concord","Contra Costa","CA","94520","","no"
"35","00777","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/9/2009","6/16/2009","8/31/2009","10/5/2009",10000,10467.8,"Subsidized 1kW AC",1.32,1.058,0.9942,"San Diego","San Diego","CA","92173","","no"
"36","00778","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/11/2009","6/16/2009","8/31/2009","10/5/2009",10000,10374.41,"Subsidized 1kW AC",1.32,1.058,0.99,"San Diego","San Diego","CA","92173","","no"
"37","00785","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/1/2009","7/17/2009","8/27/2009","9/3/2009",15876,19221.87,"$6 AC",3.2,2.648,0.99537,"Pittsburg","Contra Costa","CA","94565","","no"
"38","00786","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/1/2009","7/22/2009","9/3/2009","9/14/2009",10000,11693.38,"Subsidized 1kW AC",1.4,1.119,0.9827,"Pittsburg","Contra Costa","CA","94565","","no"
"39","00789","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/3/2009","8/17/2009","10/22/2009","11/17/2009",13344,16012.65,"$6 AC",2.66,2.224,0.9723,"Escondido","San Diego","CA","92026","","no"
"40","00791","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","5/19/2009","7/8/2009","12/31/2009","2/2/2010",10000,11255.73,"Subsidized 1kW AC",1.32,1.123,0.9956,"Escondido","San Diego","CA","92025","","no"
"41","00792","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/8/2009","7/17/2009","9/10/2009","9/17/2009",11704,14015.58,"$7 AC",2,1.672,0.98308,"Pittsburg","Contra Costa","CA","94565","","no"
"42","00793","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/10/2009","10/1/2009","1/22/2010","2/1/2010",17136.97,17136.97,"$6 AC",3.42,2.89,0.96954,"Fremont","Alameda","CA","94538","","no"
"43","00794","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/8/2009","7/22/2009","8/27/2009","9/3/2009",18921,22164.07,"$7 AC",3.2,2.703,0.98291,"Pittsburg","Contra Costa","CA","94565","","no"
"44","00795","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/8/2009","11/13/2009","12/31/2009","1/28/2010",17239.02,17239.02,"$6.5 AC",3.42,2.89,0.9519,"Pittsburg","Contra Costa","CA","94565","","no"
"45","00796","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/8/2009","7/22/2009","9/3/2009","9/14/2009",12870,15525.08,"$6.5 AC",2.4,2.027,0.99953,"Oakley","Contra Costa","CA","94561","","no"
"46","00798","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/16/2011","10/18/2012","12/18/2012","1/3/2013",20105.63,20105.63,"$6.5 AC",3.68,3.2,0.91495,"Pittsburg","Contra Costa","CA","94565","","no"
"47","00799","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/2/2009","11/24/2011","2/22/2010","3/11/2010",37795.58,37795.58,"$7 AC",6.9,6.03,0.9992,"Fresno","Fresno","CA","93706","","no"
"48","00801","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/9/2009","10/28/2009","11/23/2009","12/3/2009",9532.98,9532.98,"Subsidized 1kW AC",1.33,1.088,0.97302,"Escondido","San Diego","CA","92026","","no"
"49","00802","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/4/2009","10/15/2009","11/23/2009","12/3/2009",11436,13606.89,"$6 AC",2.28,1.906,0.97229,"Escondido","San Diego","CA","92026","","no"
"50","00803","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/9/2009","8/17/2009","10/15/2009","11/17/2009",9998.25,9999.5,"Subsidized 1kW AC",1.32,1.058,0.97153,"Escondido","San Diego","CA","92026","","no"
"51","00806","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/4/2009","11/30/2010","1/31/2010","2/23/2010",10000,11752.48,"Subsidized 1kW AC",1.32,1.123,0.96754,"Escondido","San Diego","CA","92025","","no"
"52","00807","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/18/2009","11/30/2010","1/31/2010","2/23/2010",10000,11752.48,"Subsidized 1kW AC",1.32,1.123,0.96754,"Escondido","San Diego","CA","92025","","no"
"53","00811","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/10/2009","10/8/2009","12/22/2009","1/4/2010",17303.79,17303.79,"$6 AC",3.42,2.89,0.95321,"Pittsburg","Contra Costa","CA","94565","","no"
"54","00812","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/5/2009","9/25/2009","10/22/2009","11/17/2009",11382,13381.36,"$6 AC",2.31,1.897,0.97355,"Escondido","San Diego","CA","92026","","no"
"55","00814","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/7/2009","11/3/2009","12/31/2009","2/2/2010",10000,11798.09,"Subsidized 1kW AC",1.32,1.123,0.9956,"Escondido","San Diego","CA","92025","","no"
"56","00815","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/18/2009","7/22/2009","8/27/2009","9/3/2009",14859,16765.08,"$7 AC",2.4,2.123,0.99953,"Oakley","Contra Costa","CA","94561","","no"
"57","00816","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/18/2009","9/17/2009","10/15/2009","10/29/2009",12772,12772.25,"$7 AC",2.28,1.906,0.99849,"Oakley","Contra Costa","CA","94561","","no"
"58","00818","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/15/2009","12/16/2009","1/31/2010","2/23/2010",10000,11752.48,"Subsidized 1kW AC",1.32,1.123,0.96754,"Escondido","San Diego","CA","92025","","no"
"59","00821","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/21/2010","12/17/2009","4/20/2011","5/3/2011",15295,16377.5,"$7.00 AC",2.64,2.185,0.97521,"San Francisco","San Francisco","CA","94124","","no"
"60","00822","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/21/2010","12/17/2009","4/29/2011","5/17/2011",15141,15995.37,"$7.00 AC",2.64,2.163,0.98568,"San Francisco","San Francisco","CA","94124","","no"
"61","00823","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/3/2010","12/17/2009","3/29/2011","4/5/2011",15141,15995.37,"$7.00 AC",2.64,2.163,0.98657,"San Francisco","San Francisco","CA","94124","","no"
"62","00824","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/14/2010","12/17/2009","1/31/2011","2/15/2011",12978,14119.31,"$6.00 AC",2.64,2.163,0.9978,"San Francisco","San Francisco","CA","94124","","no"
"63","00831","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/24/2009","9/17/2009","3/4/2010","3/18/2010",18137.05,18137.05,"$7 AC",3.42,2.89,0.98041,"Pittsburg","Contra Costa","CA","94565","","no"
"64","00833","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/23/2009","9/15/2009","3/4/2010","3/18/2010",15090,17858.7,"$6 AC",3.04,2.515,0.98454,"Oakland","Alameda","CA","94607","","no"
"65","00841","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/23/2009","10/8/2009","11/23/2009","12/7/2009",11960.55,11960.55,"$6.5 AC",2.28,1.886,0.98675,"Oakley","Contra Costa","CA","94561","","no"
"66","00856","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","5/5/2010","10/15/2010","12/31/2010","1/25/2011",10590,13444.54,"$6 AC",2.07,1.765,0.96563,"Oakland","Alameda","CA","94607","","no"
"67","00861","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/24/2009","9/15/2009","3/4/2010","3/18/2010",9780.89,9782.07,"Subsidized 1kW AC",1.33,1.088,0.98518,"Oakland","Alameda","CA","94607","","no"
"68","00863","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/2/2009","11/6/2009","12/31/2009","2/25/2010",9992.24,9992.24,"Subsidized 1kW AC",1.44,1.18,0.98138,"Oxnard","Ventura","CA","93030","","no"
"69","00873","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","12/7/2011","3/26/2012","7/31/2012","8/14/2012",20182.05,20182.05,"$7 AC",3.64,3.221,0.86806,"Concord","Contra Costa","CA","94520","GRID Alternatives","no"
"70","00875","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","7/29/2009","10/20/2009","12/22/2009","1/4/2010",22032.75,22032.75,"$7 AC",3.68,3.218,0.97721,"Concord","Contra Costa","CA","94520","","no"
"71","00877","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","6/26/2009","10/7/2009","11/12/2009","12/3/2009",16282,16282,"$7 AC",3.42,2.89,0.97259,"Escondido","San Diego","CA","92026","","no"
"72","00882","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/10/2009","9/16/2009","12/22/2009","1/4/2010",24262.76,24262.76,"$7 AC",4.14,3.62,0.97732,"Concord","Contra Costa","CA","94520","","no"
"73","00898","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/18/2009","2/23/2010","4/30/2010","5/11/2010",14859,16862.59,"$6.5 AC",2.64,2.286,0.9536,"Oakland","Alameda","CA","94605","","no"
"74","00904","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","3/19/2010","7/22/2010","10/29/2010","10/7/2011",9462,12235.37,"$6 AC",1.84,1.577,0.96703,"Pleasanton","Alameda","CA","94566","","no"
"75","00911","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","9/2/2009","","12/31/2009","2/25/2010",22526,27116.87,"$7 AC",3.68,3.218,0.98179,"Oxnard","Ventura","CA","93030","","no"
"76","00914","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/5/2009","10/7/2009","11/12/2009","11/19/2009",18669.63,18669.63,"$7 AC",3.22,2.801,0.97767,"Clovis","Fresno","CA","93612","","no"
"77","00915","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/28/2009","10/20/2009","12/22/2009","1/4/2010",8958.5,11938.78,"$4.75 AC",2.28,1.886,0.9814,"Pleasanton","Alameda","CA","94566","","no"
"78","00917","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/10/2009","10/20/2009","11/12/2009","11/19/2009",13641.34,13641.34,"$6.5 AC",2.66,2.224,0.99757,"Clovis","Fresno","CA","93612","","no"
"79","00921","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/4/2009","1/6/2010","2/22/2010","3/11/2010",10000,11714.65,"Subsidized 1kW AC",1.44,1.177,0.95086,"Pittsburg","Contra Costa","CA","94565","","no"
"80","00922","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","10/20/2009","11/13/2009","12/31/2009","1/28/2010",16896.57,16896.57,"$6 AC",3.42,2.83,0.95386,"Pittsburg","Contra Costa","CA","94565","","no"
"81","00923","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","2/25/2010","7/22/2010","10/28/2010","11/12/2010",9250.5,15691.82,"$5.25 AC",2.025,1.762,0.98508,"Pleasanton","Alameda","CA","94566","","no"
"82","00925","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/25/2009","12/22/2009","1/31/2010","2/17/2010",10000,10840.76,"Subsidized 1kW AC",1.44,1.167,0.95611,"Concord","Contra Costa","CA","94520","","no"
"83","00926","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","10/20/2009","12/1/2009","3/31/2010","5/11/2010",26006.5,33397.16,"$6.5 AC",4.6,4.001,0.99714,"Ventura","Ventura","CA","93004","","no"
"84","00927","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/28/2010","3/14/2011","5/26/2011","6/1/2011",9324.25,14606.01,"$4.75 AC",2.3,1.963,0.97786,"El Cajon","San Diego","CA","92020","","no"
"85","00928","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","4/14/2010","4/20/2010","8/31/2010","9/9/2010",10932,13785.39,"$6 AC",2.2,1.822,0.9867,"El Cajon","San Diego","CA","92020","","no"
"86","00929","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/6/2009","1/17/2010","3/10/2010","3/25/2010",13865.03,13865.03,"$7 AC",2.3,1.994,0.9701,"Greenfield","Monterey","CA","93927","","no"
"87","00930","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/6/2009","1/17/2010","3/4/2010","3/18/2010",12624,14883.24,"$6 AC",2.52,2.104,0.99003,"Greenfield","Monterey","CA","93927","","no"
"88","00931","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/6/2009","1/17/2010","3/22/2010","4/2/2010",11719.5,13845.14,"$6.5 AC",2.16,1.803,0.96804,"Greenfield","Monterey","CA","93927","","no"
"89","00932","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/10/2009","1/17/2010","3/10/2010","3/25/2010",15018.99,15018.99,"$7 AC",2.76,2.393,0.9987,"Greenfield","Monterey","CA","93927","","no"
"90","00933","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/9/2009","1/17/2010","3/10/2010","3/25/2010",13608.04,13608.04,"$7 AC",2.4,2.008,0.9836,"Greenfield","Monterey","CA","93927","","no"
"91","00934","Completed","Grid Alternatives","Southern California Edison (SCE)","SASH 1.0","Single-Family Affordable Solar Housing","6/17/2010","11/30/2010","5/26/2011","7/6/2011",32624.04,32624.04,"$6.5 AC",6.24,5.401,0.9706,"San Jacinto","Riverside","CA","92583","GRID Alternatives","no"
"92","00935","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/7/2009","1/17/2010","3/10/2010","3/25/2010",14878.05,14878.05,"$7 AC",2.64,2.286,0.97544,"Greenfield","Monterey","CA","93927","","no"
"93","00936","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/6/2009","1/17/2010","3/4/2010","3/18/2010",10521,12748.89,"$7 AC",1.8,1.503,0.9974,"Greenfield","Monterey","CA","93927","","no"
"94","00937","Completed","Grid Alternatives","San Diego Gas & Electric (SDG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/24/2009","11/2/2009","12/18/2009","1/6/2010",13915.46,13915.46,"$7 AC",2.4,2.008,0.98244,"El Cajon","San Diego","CA","92019","","no"
"95","00938","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","9/1/2009","12/2/2009","12/31/2009","1/28/2010",18415.71,18415.71,"$5.75 AC",3.96,3.341,0.99463,"Davis","Yolo","CA","95616","","no"
"96","00939","Completed","Grid Alternatives","Pacific Gas and Electric Company (PG&E)","SASH 1.0","Single-Family Affordable Solar Housing","8/27/2009","1/8/2010","2/22/2010","3/11/2010",13344,15409.3,"$6 AC",2.66,2.224,0.95123,"Oakland","Alameda","CA","94607","","no"
